Title,Curated,Date,Date To,Start Time,End Time,Host Country,Location,Area,Price,Categories,Primary URL,Age Guidance,Setting,Audience Country,Event Category,Notes,Tags,Series Key,Event Key
La Wine Up Block Party,🌟,21-06-2026,,15:00,00:00,FR,VNS Sneakers,,Free,"Dancehall, Afro, Gouyad",https://www.instagram.com/p/DY2Kp8kCBfy/?igsh=MTl0djRmeTBhY24zOA==,All ages,Outdoor,,Party,,,,evt_f034651cf465d832
ASSEMBLE ENSEMBLE,🌟,19-06-2026,,14:30,,"UK, FR",GULA,,Free,,https://www.placeltd.co.uk/eventdetailspage/%E2%8B%86%E2%9C%B4%EF%B8%8E%EF%BD%A1%E2%8B%86-%CB%9Aassemble-ensemble%E2%8B%86%E2%9C%B4%EF%B8%8E%CB%9A%EF%BD%A1%E2%8B%86/r/recB8dOzsPD1GkFI8?utm_medium=social&viewMode=modal&utm_source=ig&utm_content=link_in_bio,All ages,Indoor,,Activity,"Writing workshop, collective mural making, group games, chess, prizes and DJs playing all throughout",,,evt_6d5a07782bfebdc2
The Glam Takeover: Paris x London,,16-06-2026,,09:00,20:00,,,Multiple Locations,€5 - €70,"Afrobeats, Hip Hop, Dancehall, Afro House, Gqom, Amapiano",https://www.instagram.com/laidlabeluk?igsh=MXFxMmhnOWp4dHZvYQ%3D%3D&utm_source=qr,18+,Indoor,,Activity,"Paris x London glam collab for Fête de la Musique & carnival season ✨ Offering wig installs, reinstalls, styling & festival-ready looks from 16–21 June. All hair types welcome 💕 Limited appointments available. DM @laidlabeluk to book.",,,evt_f8cfc332162a0ac6
LOVA Nº4,,18-06-2026,,19:00,05:00,FR,Panic Room,11,Free,"Baile Funk, Reggaeton, Electro, Trap, Rap",https://shotgun.live/en/events/lova1,18+,Indoor,,Party,,,,evt_41f710dff26f2f4c
JayO: Live in Paris,,18-06-2026,,19:30,23:00,FR,La Place,,€24.00,"Afro, Afrobeats",https://shotgun.live/events/jay-o?uhandle=melan53&utm_campaign=share_event&utm_term=melan53,18+,Indoor,,Culture,,,,evt_ed8785e154618763
Bacardi To The World X Afourika : The Groove Experience,,19-06-2026,,16:00,22:00,"FR, UK",Dock B,Greater Paris,€18.70 - €27.50,"Afro, Amapiano, Afrobeats",https://shotgun.live/en/events/bacardi-to-the-world-x-afourika-the-groove-experience,18+,Indoor,,Activity,,,,evt_7a08fc1981fabdda
Bingo N Beats - Fete De La Musique,,19-06-2026,,18:00,22:30,IE,Paddock Lounge,Greater Paris,€25.11 - €33.15,"Francophone, FR Afro, Afrobeats, Rap, R&B",https://www.eventbrite.ie/e/bnb-fete-de-la-musique-tickets-1987334898178?aff=ebdsoporgprofile&_gl=1*r3cktw*_up*MQ..*_ga*MTk1MTYxMTY4Ny4xNzc4MTk5NTI3*_ga_TQVES5V6SH*czE3NzgxOTk1MjYkbzEkZzAkdDE3NzgxOTk1MjYkajYwJGwwJGgw,18+,Indoor,,Activity,Prizes include a free holiday!,,,evt_bf13d93824c59f8a
Fête de la Mais Af – Game Night & Bingo,,19-06-2026,,18:30,22:00,FR,SAARGALE,12,£10,"Afrobeats, Hip Hop, R&B, Slow Jams, Urban FR, Soul",https://www.mais-af.com/products/mais-af-gamenight?variant=42434919006293,25+,Indoor,,Activity,A fun interactive game night built around Afrobeats and Old school R&B! Bring your A-game! Prizes to be won!,,,evt_39648d21f68eaf53
Kossa Folie x RnB & Groove Welcome Party,,19-06-2026,,19:00,02:00,"UK, FR",UTOPIA,1,£8.50 - £12.50,"rnb, slowjams, amapiano, gqom, afrohouse, 3-step, afrobeats, konpa, zouk, rumba",https://shotgun.live/events/kossa-folie-x-rnb-and-groove-fete-welcome-party?uhandle=oooc&utm_campaign=share_event&utm_term=oooc,18+,Indoor,,Party,,,,evt_0bbd150c4e8187c2
"Passages - Acte III, Scène 1",,19-06-2026,,19:30,23:00,FR,Bal Chavaux,Greater Paris,€30.00,"R&B, Soul",https://shotgun.live/en/events/passages-acte-iii,18+,Indoor,,Culture,,,,evt_f83aa52665297647
La Terrasse Latino Du Cabaret Sauvage,,19-06-2026,,20:00,05:30,FR,Cabaret Sauvage,19,Free - €21.00,"Salsa, Reggaeton, Bachata, Merengue",https://shotgun.live/en/events/la-terrasse-latino-du-cabaret-sauvage-19-06-2026,18+,"Indoor, Outdoor",,Party,,,,evt_6ebb75870aa57f23
Krispy Jam N°29 - Tascha,🌟,19-06-2026,,20:00,02:00,FR,La Petite Halle,19,Free,"Soul, Hip Hop, Jazz, Rap, Funk",https://shotgun.live/en/events/krispy-jam-n-29,18+,"Indoor, Outdoor",,Party,,,,evt_115811d709b9b6ed
Soirée Pré-Pride QR & Alliées Edition 2026,,19-06-2026,,20:00,01:30,FR,Speechless,11,€5.99 - €11.00,"Afrobeats, Shatta, Dancehall, Bouyon, Soca, Amapiano, French Pop",https://shotgun.live/en/events/soiree-pre-pride-edition-2026,18+,Indoor,,Party,€11 at the door for those without a ticket,,,evt_af553e818d2f2b51
AURA X LOVE & BOWL: With LOVE from PARIS,,19-06-2026,,21:00,03:00,UK,Beach Bowling,Greater Paris,€38.71,,https://dice.fm/event/7dglwv-aura-x-love-bowl-with-love-from-paris-fte-de-la-musique-19th-jun-beach-bowling-thiais-tickets,21+,Indoor,,Activity,All tickets include unlimited free play bowling and unlimited free play arcade games,,,evt_518e5807b78a583f
Body2Bass In Paris,,19-06-2026,,22:00,05:00,,130 Rue de Rivoli,1,€10.00 - €15.00,"Amapiano, House, Afro House, Bouyon, Baile Funk",https://shotgun.live/en/events/body-2-bass-in-paris,18+,Indoor,,Party,,,,evt_d8fea2b19f4bbda0
1WAY x CLOSE FRIENDS,,19-06-2026,,22:00,05:00,"UK, DE",Carré Montparnasse,15,£39.66 - £41.72,"Afro, Afrobeats, Amapiano, Slow Jams, Afro House, 3-step, R&B",https://dice.fm/event/mxddyr-fdlm-1way-x-close-friends-19th-jun-carr-montparnasse-paris-tickets?lng=en,22+,Indoor,,Party,dress to impress ;) no heels no tracksuits,,,evt_14c628dc0436bbe2
Hip-Hop & Dancehall Party,,19-06-2026,,22:00,05:00,FR,California Avenue,1,Free,"Dancehall, Afrobeats, Reggaeton, Latino, Hip Hop",https://shotgun.live/en/events/hip-hop-dancehall-party-77,18+,Indoor,,Party,,,,evt_c62680970fba7922
Slow Jams Nation - Fete De La Musique Slow Jams Party,,19-06-2026,,22:00,05:00,UK,Salons du Louvre,1,€25.00,"RnB, Soul, Slow Jams",https://shotgun.live/en/events/slow-jams-nation-fete-de-la-musique-slow-jams-party,18+,Indoor,,Party,"No tracksuits! No hoods or sportswear, no liquids, perfume & alcohol to be brought in the venue",,,evt_70664a560be21e38
Ginger Party Welcome NCE Boat Party,,19-06-2026,,22:30,05:00,"FR, BE, DE",Tour Eiffel,7,€14.99,"Afro, Amapiano, Shatta, Dancehall, Rap, Afro, Afro House",https://shotgun.live/en/events/ginger-welcome-nce,18+,Outdoor,,Party,,,,evt_281d422e20eb2669
Free Your Funk & Roche Musique : S!Rene & More...,,19-06-2026,,23:00,05:30,FR,La Bellevilloise,20,€19.80,"R&B, Funk, Afrobeats, Hip Hop, House",https://shotgun.live/en/events/free-your-funk-roche-musique-s-rene-more-19-06-26,18+,Indoor,,Party,,,,evt_dbb71f94b2dd96c7
Beats & Drinks - Fête De La Musique Warm Up,,19-06-2026,,23:00,05:00,FR,Tape Paris,1,€22.00 - €27.50,"Afrobeats, Dancehall, Hip Hop",https://shotgun.live/en/events/tbo-beats-drinks-fete-de-la-musique-2,18+,Indoor,,Party,,,,evt_e5251eb40ecc8570
Caribbean Groove,,19-06-2026,,23:00,05:00,FR,Club Tout Le Monde En Parle,15,Free - €15.99,"Hip Hop, R&B, Zouk, Kompa, Reggaeton, Dancehall, Bashment, Afrobeats",https://shotgun.live/en/events/club-caribbean-groove-hiphop-afrobeat-r-b-122,18+,Indoor,,Party,Free entry for women before 11:30 pm. On the door: €20 entry with 1 drink.,,,evt_3780fce82761c016
This is LA VIE (Friday),,19-06-2026,,23:00,05:00,UK,Movida Club,19,£37.39,"Afrobeats, Amapiano, Dancehall, Hip Hop,",https://dice.fm/event/6dla57-this-is-la-vie-friday-19th-jun-movida-club-paris-tickets,20+,Indoor,,Party,,,,evt_41fb358e2d3f6f89
Amapianoland - Fete De La Musique Festival,,19-06-2026,,23:00,05:00,UK,Terminal 7,15,€30.00,"Amapiano, Afrobeats",https://shotgun.live/en/festivals/amapianoland-fete-de-la-musique-festival,18+,Indoor,,Party,"No tracksuits! No hoods or sportswear, no liquids, perfume & alcohol to be brought in the venue",,,evt_94fdc68e73fe9d63
"La Clairière : Shimza, Kasango, Amrita",,19-06-2026,,23:00,05:00,FR,La Clairière,16,€14.00 - €39.00,"Afro House, Amapiano",https://shotgun.live/en/events/la-clairiere-shimza-kasango-amrita,18+,Outdoor,,Party,,,,evt_99fc5e43ada04509
Trendy X Sika FDLM Day 1,,19-06-2026,,23:00,06:00,"FR, UK",Wanderlust,13,€20.00 - €30.00,"Afrobeats, Amapiano, Afro, FR Afro, Bouyon, Kompa, Bashment, R&B, Hip Hop, Shatta",https://shotgun.live/events/trendy-fdlm-day-1-19-june-wanderlust-paris?uhandle=melan53&utm_campaign=share_event&utm_term=melan53,18+,"Indoor, Outdoor",,Party,,,ser_1b716696501239d1,evt_7c6d5a51a0d0c102
